Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags,Phishing
1,2,3,6,1,1,1,1,1,1,1,1,1,9,93823,8,0,0,63,1
1,2,3,6,1,1,1,1,1,1,1,1,1,5,145182,2,0,0,61,1
1,2,2,6,0,0,0,0,0,0,0,0,0,5,145182,2,0,0,61,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,268949,65,0,0,893,0
1,2,2,6,1,1,1,1,1,1,1,1,1,5,145182,2,0,0,61,1
1,2,2,6,0,0,0,0,0,0,0,0,0,9,145182,2,0,0,61,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,13607,24,0,1,215,0
1,2,3,6,1,1,1,1,1,1,1,1,1,5,37274,0,0,1,50,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,156163,403,0,0,1206,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,118403,129,0,3,1025,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,2237,4,0,0,54,0
1,2,3,6,0,0,0,0,0,0,0,0,0,1,66123,55,0,0,647,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,74865,152,0,0,615,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,107871,198,0,1,958,0
1,2,3,6,1,1,1,1,1,1,1,1,1,8,93831,8,0,0,63,1
1,2,3,6,1,1,1,1,1,1,1,1,1,8,168584,0,0,0,44,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,134188,147,0,1,933,0
1,2,3,6,1,1,1,1,1,1,1,1,1,0,16369,66,0,2,233,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,624148,31,0,0,531,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,76714,41,0,0,338,0
1,2,2,6,0,0,0,0,0,0,0,0,0,2,340377,518,0,1,2395,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1,2,3,6,0,0,0,0,0,0,0,0,0,1,246402,60,0,3,613,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,33207,74,0,0,364,0
1,2,3,6,1,1,1,1,1,1,1,1,1,6,10670,0,0,0,39,1
1,2,2,6,0,0,0,0,0,0,0,0,0,0,240615,234,0,0,2219,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,5663,0,0,0,18,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,52,0,0,0,2,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,444756,54,0,4,1095,0
1,2,3,6,1,1,1,1,1,1,1,1,1,0,30262,54,0,5,421,0
1,2,7,6,0,0,0,0,0,0,0,0,0,0,37049,70,0,0,205,0
