,URL,Phishing,Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags
957,uoj.edu.pk,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,30617,18,0,0,211
958,interia.pl,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,548947,532,0,2,3105
959,vecteezy.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,694297,240,0,1,1768
960,weddingbazaar.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,261783,474,0,1,2186
962,ukr.net,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,4922,1,0,0,46
963,zappos.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,263,0,0,0,6
964,aldi.us,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,167314,254,0,1,1360
965,zeebiz.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,226626,299,0,1,1822
966,dexerto.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,324676,271,0,1,1043
967,tistory.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,28125,47,0,0,384
968,lyst.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,474255,379,0,0,3605
969,igram.world,0,1,3,5,6,0,0,0,0,0,0,0,0,0,0,5743,0,0,0,18
970,livescore.bz,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,222829,523,0,0,3165
971,pharmeasy.in,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,1081971,719,0,1,4714
972,justice.gov,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,99005,101,0,4,1076
974,nhsinform.scot,0,1,3,4,6,0,0,0,0,0,0,0,0,0,0,38293,62,0,2,353
975,bookfacestores.com.au,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,110791,96,0,0,569
976,vulture.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1340627,192,0,1,1651
977,s-king.in,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,226,0,0,0,5
980,socialblade.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,748806,4,0,0,46
981,ihop.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,4512,1,0,0,45
982,rogerebert.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,68515,159,0,0,1044
983,livescience.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,926810,119,0,0,1159
984,service-public.fr,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,105446,102,0,0,529
987,eltiempo.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,495245,371,0,2,2232
988,onet.pl,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,1098178,513,0,4,2198
989,unacademy.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,196012,40,0,1,704
990,newyorker.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1505885,195,0,1,1850
991,bk.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,4972,0,0,0,41
993,indjobalert.in,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,42113,44,0,0,244
994,freejobalert.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,88141,310,0,0,1166
995,xnxx.health,0,1,3,6,6,0,0,0,0,0,0,0,0,0,0,123539,24,0,0,487
996,google.ch,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,20358,28,0,0,94
997,consumerreports.org,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,358885,410,0,1,2055
998,canaltech.com.br,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,125438,21,0,1,285
999,sharechat.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,73940,61,0,1,525
